time_step,crop,source_LUT,pixels,yield_minimum,yield_mean,yield_maximum
66,Plantano,agroforestry,48656,486.56,234521.92,468557.28
66,Maize,cropland-annual,7406,1036.84,7628.18,14219.52
66,Cassava,cropland-annual,1541,15.41,9230.59,18445.77
67,Cacao,agroforestry,310648,62129.6,279583.2,497036.8
67,Coffee,agroforestry,266,34.58,37.24,39.9
67,Plantano,agroforestry,48815,488.15,235288.3,470088.45
67,Maize,cropland-annual,7422,1039.08,7644.66,14250.24
67,Cassava,cropland-annual,1544,15.44,9248.56,18481.68
68,Cacao,agroforestry,311605,62321.0,280444.5,498568.0
68,Coffee,agroforestry,266,34.58,37.24,39.9
68,Plantano,agroforestry,48965,489.65,236011.3,471532.95
68,Maize,cropland-annual,7437,1041.18,7660.11,14279.04
68,Cassava,cropland-annual,1548,15.48,9272.52,18529.56
69,Cacao,agroforestry,312650,62530.0,281385.0,500240.0
69,Coffee,agroforestry,267,34.71,37.38,40.05
69,Plantano,agroforestry,49129,491.29,236801.78,473112.27
69,Maize,cropland-annual,7455,1043.7,7678.65,14313.6
69,Cassava,cropland-annual,1551,15.51,9290.49,18565.47
70,Cacao,agroforestry,313644,62728.8,282279.6,501830.4
70,Coffee,agroforestry,268,34.84,37.52,40.2
70,Plantano,agroforestry,49286,492.86,237558.52,474624.18
70,Maize,cropland-annual,7470,1045.8,7694.1,14342.4
70,Cassava,cropland-annual,1554,15.54,9308.46,18601.38
71,Cacao,agroforestry,314653,62930.6,283187.7,503444.8
71,Coffee,agroforestry,269,34.97,37.66,40.35
71,Plantano,agroforestry,49444,494.44,238320.08,476145.72
71,Maize,cropland-annual,7486,1048.04,7710.58,14373.12
71,Cassava,cropland-annual,1558,15.58,9332.42,18649.26
72,Cacao,agroforestry,315680,63136.0,284112.0,505088.0
72,Coffee,agroforestry,270,35.1,37.8,40.5
72,Plantano,agroforestry,49606,496.06,239100.92,477705.78
72,Maize,cropland-annual,7503,1050.42,7728.09,14405.76
72,Cassava,cropland-annual,1561,15.61,9350.39,18685.17
73,Cacao,agroforestry,316727,63345.4,285054.3,506763.2
73,Coffee,agroforestry,271,35.23,37.94,40.65
73,Plantano,agroforestry,49770,497.7,239891.4,479285.1
73,Maize,cropland-annual,7519,1052.66,7744.57,14436.48
73,Cassava,cropland-annual,1565,15.65,9374.35,18733.05
74,Cacao,agroforestry,318068,63613.6,286261.2,508908.8
74,Coffee,agroforestry,272,35.36,38.08,40.8
74,Plantano,agroforestry,49981,499.81,240908.42,481317.03
74,Maize,cropland-annual,7543,1056.02,7769.29,14482.56
74,Cassava,cropland-annual,1570,15.7,9404.3,18792.9
